ID,Titel,Beschreibung,Verbindlichkeit,Priorität,Kategorie,Status,Planung,Autor,Erstellt,Juristische Relevanz,Letzte Änderung,Referenz
REQ-001,Onboarding-Flow,"Der Nutzer wird beim ersten App-Start durch eine geführte Eingabe-Journey geführt: Geschlecht, Alter, Größe, Gewicht, Aktivitätslevel, Ernährungsziel, Diät-Typ und Allergien.",MUSS,Hoch,Funktional,In Progress,Iteration 1,Jannis,"May 15, 2026 5:08 PM",Yes,"June 18, 2026 12:03 PM",Meals/feature-spec-iter1.md
REQ-002,Makro-Berechnung,"Protein = KG × 1,5 g, Fett = KG × 1,0 g, Kalorien über Harris-Benedict × Aktivitätsfaktor × Ziel-Faktor, Kohlenhydrate = Rest.",MUSS,Hoch,Funktional,To Do,Iteration 1,Jannis,"May 15, 2026 5:08 PM",No,"June 18, 2026 11:57 AM",Meals/feature-spec-iter1%201.md
REQ-003,Rezept-Matching,"Filterung nach Diät-Typ und Allergien, dann nach Makros (±15 %), anschließend gewichtete Zufallsauswahl. Kein Rezept wiederholt sich innerhalb von 5 Tagen.",MUSS,Hoch,Funktional,To Do,Iteration 1,Jannis,"May 15, 2026 5:08 PM",No,"June 18, 2026 11:57 AM",Meals/feature-spec-iter2.md
REQ-004,Wochenplan-Anzeige,Der generierte Plan wird als 7-Tage-Übersicht mit je 3 Mahlzeiten pro Tag dargestellt. Der Nutzer kann den Plan mit einem Tap neu generieren.,MUSS,Hoch,Funktional,To Do,,Jannis,"May 15, 2026 5:08 PM",No,"June 17, 2026 6:46 PM",Meals/feature-spec-iter2%201.md
REQ-005,Einkaufsliste generieren,"Alle Zutaten des Wochenplans werden aggregiert, normalisiert und nach Kategorie gruppiert als Einkaufsliste dargestellt.",MUSS,Hoch,Funktional,To Do,,Jannis,"May 15, 2026 5:08 PM",No,"June 18, 2026 11:58 AM",Meals/feature-spec-iter1%202.md
REQ-006,Kochtage-Vorschlag,"Die App schlägt automatisch vor, an welchen Tagen gekocht wird und für wie viele Tage im Voraus. Standard: 3 Kochtage pro Woche, je 2 Portionen (Meal Prep). Muster: Sonntag (Mo+Di), Dienstag (Mi+Do), Freitag (Sa+So).",MUSS,Mittel,Funktional,To Do,,Jannis,"June 17, 2026 5:41 PM",No,"June 17, 2026 6:46 PM",
REQ-007,Performance Plangenerierung,"Die Generierung des Wochenplans (Matching + Anzeige) soll auf einem Mittelklasse-Smartphone in unter 3 Sekunden abgeschlossen sein. Baseline-Messung in Iter. 1, Optimierung in Iter. 2 falls Ziel verfehlt.",SOLL,Hoch,Nicht-Funktional,To Do,,Jannis,"June 17, 2026 5:51 PM",No,"June 17, 2026 6:46 PM",
REQ-008,Datenschutz & DSGVO,"Gesundheitsdaten (Gewicht, Ziele, Allergien) müssen DSGVO-konform gespeichert und verarbeitet werden. Der Nutzer muss vor dem Onboarding explizit der Datenschutzerklärung zustimmen. Umsetzung über Supabase Row-Level-Security.",MUSS,Hoch,Nicht-Funktional,To Do,,Jannis,"June 17, 2026 5:52 PM",Yes,"June 17, 2026 6:46 PM",
REQ-009,Mahlzeit-Swap,"Der Nutzer kann einzelne Mahlzeiten im Wochenplan gegen Alternativen aus dem Rezept-Pool tauschen, ohne den gesamten Plan neu zu generieren. Die Einkaufsliste aktualisiert sich dabei automatisch.",SOLL,Mittel,Funktional,To Do,,Jannis,"June 17, 2026 5:52 PM",No,"June 17, 2026 6:46 PM",
REQ-010,Einkaufsliste exportieren,Die generierte Einkaufsliste kann über das native Share-System des Betriebssystems (iOS Share Sheet / Android Intent) als Plain-Text geteilt oder weitergeleitet werden. Deep-Link-Integration mit Bring! oder AnyList.,SOLL,Mittel,Funktional,To Do,,Jannis,"June 17, 2026 5:52 PM",No,"June 17, 2026 6:46 PM",
